id,year,era,country,brand,campaign,agency,writer,director,genre,category,format,why,link
1,1975,1970s,India,Liril,Waterfall Girl,Hindustan Thompson Associates,,,Brand Film / TVC,Advertising,Film,One of India's defining lifestyle ads; sold freshness and freedom through visual theatre rather than product claims,https://www.youtube.com/results?search_query=Liril+Waterfall+Girl+Indian+advertisement
2,1976,1970s,India,Vicks,Vicks Ki Goli,Ambience,,,Brand Film / TVC,Advertising,Film,A mnemonic jingle that made a functional product culturally sticky,https://www.youtube.com/results?search_query=Vicks+Vicks+Ki+Goli+Indian+advertisement
3,1977,1970s,India,Cinthol,Alive Is Awesome / early Cinthol,Lowe/Contract era,,,Brand Film / TVC,Advertising,Film,Helped establish the Indian 'cool' lifestyle-ad grammar,https://www.youtube.com/results?search_query=Cinthol+Alive+Is+Awesome+%2F+early+Cinthol+Indian+advertisement
4,1978,1970s,India,Luna,Chal Meri Luna,Unknown,,,Brand Film / TVC,Advertising,Film,An unforgettable jingle and highly accessible mobility proposition,https://www.youtube.com/results?search_query=Luna+Chal+Meri+Luna+Indian+advertisement
5,1979,1970s,India,Amul,Amul topical advertising,DaCunha Communications,,,Brand Film / TVC,Advertising,Film,A uniquely Indian long-running format where topical wit became the brand,https://www.youtube.com/results?search_query=Amul+Amul+topical+advertising+Indian+advertisement
6,1980,1980s,India,Bournvita,Brought Up Right,Ogilvy / JWT era,,,Brand Film / TVC,Advertising,Film,A classic example of turning product category into parental aspiration,https://www.youtube.com/results?search_query=Bournvita+Brought+Up+Right+Indian+advertisement
7,1980,1980s,India,Nirma,Washing Powder Nirma,Purnima Advertising,,,Brand Film / TVC,Advertising,Film,A jingle + visual mnemonic combination that became mass cultural memory,https://www.youtube.com/results?search_query=Nirma+Washing+Powder+Nirma+Indian+advertisement
8,1981,1980s,India,Maggi,2 Minute Noodles,HTA/JWT,,,Brand Film / TVC,Advertising,Film,Made convenience a family ritual through a simple behavioural promise,https://www.youtube.com/results?search_query=Maggi+2+Minute+Noodles+Indian+advertisement
9,1981,1980s,India,Rasna,I Love You Rasna,Mudra Communications,,,Brand Film / TVC,Advertising,Film,Turned a simple drink concentrate into a child's emotional world,https://www.youtube.com/results?search_query=Rasna+I+Love+You+Rasna+Indian+advertisement
10,1981,1980s,India,Surf,Lalitaji price/value films,Lowe Lintas,,,Brand Film / TVC,Advertising,Film,Character as a strategic device rather than a one-off gag,https://www.youtube.com/results?search_query=Surf+Lalitaji+price%2Fvalue+films+Indian+advertisement
11,1982,1980s,India,Complan,I'm a Complan Boy / Girl,Chaitra Advertising,,,Brand Film / TVC,Advertising,Film,Made child nutrition aspirational and gave the category a memorable identity,https://www.youtube.com/results?search_query=Complan+I%27m+a+Complan+Boy+%2F+Girl+Indian+advertisement
12,1982,1980s,India,Onida,Neighbour's Envy Owner's Pride,Advertising Avenues,,,Brand Film / TVC,Advertising,Film,A category-defining mascot and positioning that made a TV brand distinctive,https://www.youtube.com/results?search_query=Onida+Neighbour%27s+Envy+Owner%27s+Pride+Indian+advertisement
13,1982,1980s,India,Pan Parag,Shammi Kapoor / Ashok Kumar wedding,Everest Advertising,,,Brand Film / TVC,Advertising,Film,Mass entertainment and social commentary in a category ad,https://www.youtube.com/results?search_query=Pan+Parag+Shammi+Kapoor+%2F+Ashok+Kumar+wedding+Indian+advertisement
14,1982,1980s,India,Prestige,Jo Biwi Se Kare Pyaar,MAA Communications,,,Brand Film / TVC,Advertising,Film,Used a memorable line to turn cookware into a relationship signal,https://www.youtube.com/results?search_query=Prestige+Jo+Biwi+Se+Kare+Pyaar+Indian+advertisement
15,1983,1980s,India,Hamara Bajaj,Early Bajaj identity films,Lowe Lintas,,,Brand Film / TVC,Advertising,Film,"Nation, mobility and product became one emotional territory",https://www.youtube.com/results?search_query=Hamara+Bajaj+Early+Bajaj+identity+films+Indian+advertisement
